IfcGlobalId,IfcClass,Storey,BoqSec,BoqItemRef,Role,Basis,Confidence
01SfNHv5nEReC9M9Bzo7D_,IFCWALL,01 - Entry Level,2,2.05,Concrete,"Structural wall concrete, priced per m3 of wall.",0.9
01SfNHv5nEReC9M9Bzo7D_,IFCWALL,01 - Entry Level,2,2.10,Formwork,Wall formwork is implied by the wall it forms.,0.9
01SfNHv5nEReC9M9Bzo7Oy,IFCWALL,01 - Entry Level,2,2.05,Concrete,"Structural wall concrete, priced per m3 of wall.",0.9
01SfNHv5nEReC9M9Bzo7Oy,IFCWALL,01 - Entry Level,2,2.10,Formwork,Wall formwork is implied by the wall it forms.,0.9
01SfNHv5nEReC9M9Bzo7PL,IFCWALL,01 - Entry Level,2,2.05,Concrete,"Structural wall concrete, priced per m3 of wall.",0.9
01SfNHv5nEReC9M9Bzo7PL,IFCWALL,01 - Entry Level,2,2.10,Formwork,Wall formwork is implied by the wall it forms.,0.9
01SfNHv5nEReC9M9Bzo7RE,IFCWALL,01 - Entry Level,2,2.05,Concrete,"Structural wall concrete, priced per m3 of wall.",0.9
01SfNHv5nEReC9M9Bzo7RE,IFCWALL,01 - Entry Level,2,2.10,Formwork,Wall formwork is implied by the wall it forms.,0.9
01U2Ox69TF78CjGAzXHA$$,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$$,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$0,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$0,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$S,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$S,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$T,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$T,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$U,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$U,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$V,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$V,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$u,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$u,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$w,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$w,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$x,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$x,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA$z,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA$z,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA00,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA00,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA01,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA01,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA02,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA02,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA1W,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA1W,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA1Z,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA1Z,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA1b,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA1b,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA3g,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA3g,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA3j,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA3j,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA3l,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA3l,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA4G,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA4G,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA4J,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA4J,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA4L,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA4L,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA52,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA52,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA53,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA53,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA54,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA54,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA6W,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA6W,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA6Z,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA6Z,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHA6b,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHA6b,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAAS,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAAS,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAAT,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAAT,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAAU,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAAU,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHACE,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHACE,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHADm,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHADm,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHADn,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHADn,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHADp,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHADp,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHADr,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
